_id,FIR_NUM,FIR_REG_NUM,PS,RANGE_NAME,LONGITUDE,ZONE_NAME,DISTRICT,ACT_SECTION,LATITUDE,date,REG_MONTH,REG_YEAR,REG_D_W
ObjectId(5c7dd2299164b2149b585fb7),59/2016,31634043160059,RAMGHAT,MEERUT,78.3853,MEERUT,BULANDSHAHAR,"["" IPC 1860-279"","" IPC 1860-338"","" IPC 1860-304-A""]",28.1263,2016-06-10T06:30:00.000Z,6,2016,6
ObjectId(5c7dd1f69164b2149b4e5d1b),1186/2017,31684017171186,DUMARIYAGANJ,BASTI,,GORAKHPUR,SIDDHARTH NAGAR,"["" IPC 1860-323"","" IPC 1860-504"","" IPC 1860-506"","" IPC 1860-323"","" IPC 1860-504"","" IPC 1860-506""]",,2017-09-24T16:05:00.000Z,9,2017,1
ObjectId(5c7dd1f69164b2149b4e4f39),71/2017,31683055170071,SARAIYLAKHANSI,AZAMGARH,---,VARANASI,MAU,"["" IPC 1860-323"","" IPC 1860-506"","" IPC 1860-325""]",---,2017-01-31T21:45:00.000Z,1,2017,3
ObjectId(5c7dd1ee9164b2149b4ca3d5),636/2017,31679063170636,RASULPUR,AGRA,---,AGRA,FIROZABAD,"["" THE ELECTRICITY ACT"","" 2003-135""]",---,2017-09-19T11:05:00.000Z,9,2017,3
ObjectId(5c7dd2219164b2149b56c79d),8/2018,31630028180008,HAFIZGANJ,BAREILLY,-,BAREILLY,BAREILLY,"["" THE ELECTRICITY ACT"","" 2003-138""]",-,2018-01-03T05:47:39.000Z,1,2018,4
ObjectId(5c7dd2569164b2149b614b5c),1624/2016,31661033161624,NAI MANDI,SAHARANPUR,77.7116,MEERUT,MUZAFFAR NAGAR,"["" IPC 1860-379""]",29.4602,2016-11-13T20:30:00.000Z,11,2016,1
ObjectId(5c7dd2269164b2149b579769),90/2016,31632041160090,SHIWALA KALAN,MORADABAD,---,BAREILLY,BIJNOR,"["" THE ELECTRICITY ACT"","" 2003-135""]",---,2016-07-22T19:20:00.000Z,7,2016,6
ObjectId(5c7dd1fc9164b2149b4f5fb1),186/2018,31690022180186,JAHANGIRGANJ,AYODHYA,-,LUCKNOW,AMBEDKAR NAGAR,"["" IPC 1860-323"","" IPC 1860-504"","" IPC 1860-506""]",-,2018-09-21T15:33:33.000Z,9,2018,6
ObjectId(5c7dd1e29164b2149b4a34d5),131/2017,31669027170131,KUTUBSHER,SAHARANPUR,---,MEERUT,SAHARANPUR,"["" IPC 1860-147"","" IPC 1860-148"","" IPC 1860-149"","" IPC 1860-323"","" IPC 1860-337"","" IPC 1860-504"","" IPC 1860-506""]",---,2017-03-14T16:00:00.000Z,3,2017,3
ObjectId(5c7dd1f09164b2149b4cfbe5),832/2018,31681001180832,KHODA,MEERUT,,MEERUT,GHAZIABAD,"["" IPC 1860-363""]",,2018-10-31T13:51:07.000Z,10,2018,4
ObjectId(5c7dd1ec9164b2149b4c40b8),285/2017,31676055170285,SARNATH,VARANASI,83.233,VARANASI,VARANASI,"["" IPC 1860-457"","" IPC 1860-380""]",25.2338,2017-05-24T15:20:00.000Z,5,2017,4
ObjectId(5c7dd1e49164b2149b4a7463),5/2017,31670008170005,JALALABAD,BAREILLY,---,BAREILLY,SHAHJAHANPUR,"["" THE U.P. EXCISE ACT-60""]",---,2017-01-02T21:50:00.000Z,1,2017,2
ObjectId(5c7dd2389164b2149b5b5a3b),399/2018,31649020180399,KOTWALI CITY,LUCKNOW,-,LUCKNOW,HARDOI,"["" IPC 1860-379""]",-,2018-06-12T17:09:00.000Z,6,2018,3
ObjectId(5c7dd2109164b2149b535cc8),47/2016,31621031160047,MANTOLA,AGRA,---,AGRA,AGRA,"["" THE PUBLIC GAMBLING ACT"","" 1867"","" 3 OF 1867-13""]",---,2016-05-18T22:40:00.000Z,5,2016,4
ObjectId(5c7dd2039164b2149b50baf5),298/2017,31896003170298,BALUA,VARANASI,-,VARANASI,CHANDAULI,"["" IPC 1860-419"","" IPC 1860-420"","" IPC 1860-467"","" IPC 1860-468"","" IPC 1860-323"","" IPC 1860-504"","" IPC 1860-506""]",-,2017-09-09T16:20:00.000Z,9,2017,7
ObjectId(5c7dd1e69164b2149b4b0ec4),159/2016,31671030160159,PISAWAN,LUCKNOW,---,LUCKNOW,SITAPUR,"["" IPC 1860-279"","" IPC 1860-304-A""]",---,2016-06-16T18:10:00.000Z,6,2016,5
ObjectId(5c7dd1f99164b2149b4ef2f4),126/2018,31687019180126,KOTWALI PADRAUNA,GORAKHPUR,-,GORAKHPUR,KUSHI NAGAR,"["" IPC 1860-325"","" IPC 1860-323"","" IPC 1860-504"","" IPC 1860-506"","" Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act"","" 1989 (Amendment 2015)-3(1)(x)""]",-,2018-03-30T14:05:00.000Z,3,2018,6
ObjectId(5c7dd2219164b2149b56db77),424/2018,31630035180424,KOTWALI,BAREILLY,79.2538-e,BAREILLY,BAREILLY,"["" IPC 1860-279"","" IPC 1860-338"","" IPC 1860-427""]",28.211-n,2018-06-07T13:26:03.000Z,6,2018,5
ObjectId(5c7dd2309164b2149b59d02e),16/2016,31642050160016,MAHILA THANA,KANPUR,79.5797,KANPUR,FATEHGARH,"["" IPC 1860-498-A"","" IPC 1860-323"","" IPC 1860-354"","" IPC 1860-377"","" IPC 1860-504"","" IPC 1860-506"","" DOWRY PROHIBITION ACT"","" 1961-3"","" DOWRY PROHIBITION ACT"","" 1961-4""]",27.3818,2016-03-10T15:10:00.000Z,3,2016,5
ObjectId(5c7dd2379164b2149b5b3eeb),350/2018,31649002180350,ATRAULI,LUCKNOW,-,LUCKNOW,HARDOI,"["" IPC 1860-325"","" IPC 1860-323"","" IPC 1860-504"","" IPC 1860-506""]",-,2018-10-30T10:10:00.000Z,10,2018,3
ObjectId(5c7dd2369164b2149b5b1315),1/2016,31647090160001,MAHILA THANA,GORAKHPUR,-,GORAKHPUR,GORAKHPUR,"["" IPC 1860-498-A"","" IPC 1860-323"","" IPC 1860-328"","" IPC 1860-504"","" IPC 1860-506"","" IPC 1860-406"","" DOWRY PROHIBITION ACT"","" 1961-3"","" DOWRY PROHIBITION ACT"","" 1961-4""]",-,2016-01-07T21:30:00.000Z,1,2016,5
ObjectId(5c7dd2299164b2149b583fa8),1407/2018,31634032181407,KOTWALI CITY,MEERUT,-,MEERUT,BULANDSHAHAR,"["" THE U.P. EXCISE ACT-60"","" THE U.P. EXCISE ACT-63""]",-,2018-10-20T14:47:00.000Z,10,2018,7
ObjectId(5c7dd2409164b2149b5d1181),258/2018,31653070180258,SAJETI,KANPUR,80.161539-l,KANPUR,KANPUR CITY,"["" IPC 1860-304""]",26.091797-l,2018-10-16T21:04:00.000Z,10,2018,3
ObjectId(5c7dd21a9164b2149b5550a0),262/2016,31625022160262,JAHANAGANJ,AZAMGARH,---,VARANASI,AZAMGARH,"["" IPC 1860-147"","" IPC 1860-323""]",---,2016-11-11T10:30:00.000Z,11,2016,6
ObjectId(5c7dd2339164b2149b5a4b53),257/2016,31646006160257,COLONELGANJ,DEVIPATAN,81.177,GORAKHPUR,GONDA,"["" IPC 1860-376"","" IPC 1860-316"","" IPC 1860-323""]",27.1365,2016-07-02T13:50:00.000Z,7,2016,7
ObjectId(5c7dd2139164b2149b53ef97),255/2017,31622010170255,CHHARRA,ALIGARH,-,AGRA,ALIGARH,"["" THE ELECTRICITY ACT"","" 2003-135"","" THE ELECTRICITY ACT"","" 2003-138""]",-,2017-10-31T12:15:00.000Z,10,2017,3
ObjectId(5c7dd2209164b2149b569368),443/2016,31630007160443,BHAMORA,BAREILLY,---,BAREILLY,BAREILLY,"["" IPC 1860-354"","" IPC 1860-504"","" THE PROTECTION OF CHILDREN FROM SEXUAL OFFENCE ACT"","" 2012-7"","" THE PROTECTION OF CHILDREN FROM SEXUAL OFFENCE ACT"","" 2012-8""]",---,2016-12-24T18:05:00.000Z,12,2016,7
ObjectId(5c7dd21b9164b2149b55ae50),3024/2016,31626029163024,NANPARA,DEVIPATAN,---,GORAKHPUR,BAHRAICH,"["" IPC 1860-419"","" IPC 1860-420"","" IPC 1860-471"","" IPC 1860-506"","" IPC 1860-467"","" IPC 1860-468""]",---,2016-12-07T17:10:00.000Z,12,2016,4
ObjectId(5c7dd23f9164b2149b5cd13f),364/2018,31653043180364,KALYANPUR,KANPUR,-,KANPUR,KANPUR CITY,"["" IPC 1860-147"","" IPC 1860-148"","" IPC 1860-452"","" IPC 1860-323"","" IPC 1860-504"","" IPC 1860-506"","" IPC 1860-427""]",-,2018-03-31T01:54:21.000Z,3,2018,7
ObjectId(5c7dd2539164b2149b60be82),582/2016,31660033160582,MAJHOLA,MORADABAD,---,BAREILLY,MORADABAD,"["" IPC 1860-379""]",---,2016-06-25T07:10:00.000Z,6,2016,7
ObjectId(5c7dd1fe9164b2149b4fd695),446/2017,31831007170446,GARHMUKTESWAR,MEERUT,78.0332,MEERUT,HAPUR,"["" IPC 1860-279"","" IPC 1860-338"","" IPC 1860-304-A"","" IPC 1860-427"","" IPC 1860-279"","" IPC 1860-338"","" IPC 1860-304-A"","" IPC 1860-427""]",28.775,2017-11-02T23:05:00.000Z,11,2017,5
ObjectId(5c7dd1e89164b2149b4b7770),28/2018,31674001180028,ACHALGANJ,LUCKNOW,-,LUCKNOW,UNNAO,"["" IPC 1860-279"","" IPC 1860-337"","" IPC 1860-338"","" IPC 1860-506""]",-,2018-02-06T12:13:02.000Z,2,2018,3
ObjectId(5c7dd20d9164b2149b52b0e6),65/2018,31909003180065,GANJDUDWARA ,ALIGARH,27.729943-l,AGRA,KASGANJ,"["" IPC 1860-307"","" IPC 1860-504""]",78.936983-l,2018-03-17T21:27:52.000Z,3,2018,7
ObjectId(5c7dd24c9164b2149b5f5b7c),515/2017,31657043170515,SADAR BAZAR,AGRA,-,AGRA,MATHURA,"["" IPC 1860-323"","" IPC 1860-506""]",-,2017-10-17T18:20:00.000Z,10,2017,3
ObjectId(5c7dd21c9164b2149b55d24f),261/2016,31627006160261,BANSDEEH ROAD,AZAMGARH,---,VARANASI,BALLIA,"["" THE U.P. EXCISE ACT-60""]",---,2016-06-09T20:10:00.000Z,6,2016,5
ObjectId(5c7dd2349164b2149b5a99cf),103/2018,31647005180103,BELGHAT,GORAKHPUR,-,GORAKHPUR,GORAKHPUR,"["" THE ELECTRICITY ACT"","" 2003-135""]",-,2018-05-20T12:34:55.000Z,5,2018,1
ObjectId(5c7dd2229164b2149b56fdbd),106/2016,31630055160106,SUBHASH NAGAR,BAREILLY,79.4022,BAREILLY,BAREILLY,"["" IPC 1860-457"","" IPC 1860-380""]",28.3385,2016-04-03T10:30:00.000Z,4,2016,1
ObjectId(5c7dd2439164b2149b5da005),243/2018,31655006180243,BAZARKHALA,LUCKNOW,80.908463-N,LUCKNOW,LUCKNOW,"["" IPC 1860-379""]",26.844932-S,2018-05-17T16:15:00.000Z,5,2018,5
ObjectId(5c7dd1eb9164b2149b4bfb1a),66/2016,31676022160066,DASHASHWMEDH,VARANASI,---,VARANASI,VARANASI,"["" THE ELECTRICITY ACT"","" 2003-138""]",---,2016-07-04T20:40:00.000Z,7,2016,2
ObjectId(5c7dd1f89164b2149b4ea5df),348/2018,31686042180348,KOTWALI,GORAKHPUR,-,GORAKHPUR,MAHRAJGANJ,"["" IPC 1860-323"","" IPC 1860-504"","" IPC 1860-506"","" Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act"","" 1989 (Amendment 2015)-3(1)(d)""]",-,2018-05-24T06:16:00.000Z,5,2018,5
ObjectId(5c7dd2379164b2149b5b1932),147/2018,31648016180147,JALALPUR,CHITRAKOOT,79.483652-E,PRAYAGRAJ,HAMIRPUR,"["" THE U.P. EXCISE ACT-60""]",25.864929-N,2018-12-13T18:05:00.000Z,12,2018,5
ObjectId(5c7dd1fd9164b2149b4f798e),621/2017,31825002170621,HAYATNAGAR,MORADABAD,78.4726,BAREILLY,SAMBHAL,"["" IPC 1860-279"","" IPC 1860-338"","" IPC 1860-304-A"","" IPC 1860-427""]",28.5159,2017-12-03T08:55:00.000Z,12,2017,1
ObjectId(5c7dd2009164b2149b501b5c),1034/2017,31892002171034,KOTWALI DEHAT,DEVIPATAN,-,GORAKHPUR,BALRAMPUR,"["" IPC 1860-279"","" IPC 1860-337"","" IPC 1860-338"","" IPC 1860-427"","" THE MOTOR VEHICLES ACT"","" 1988-184""]",-,2017-12-27T19:40:00.000Z,12,2017,4
ObjectId(5c7dd2269164b2149b57aa73),366/2017,31633004170366,BINAWAR,BAREILLY,---,BAREILLY,BADAUN,"["" U.P PUBLIC GAMBLING ACT 1867-13""]",---,2017-06-17T21:45:00.000Z,6,2017,7
ObjectId(5c7dd24b9164b2149b5f3523),456/2016,31657021160456,KOTWALI,AGRA,,AGRA,MATHURA,"["" IPC 1860-364""]",,2016-05-04T17:00:00.000Z,5,2016,4
ObjectId(5c7dd1fe9164b2149b4fcd55),45/2018,31831005180045,HAPUR DEHAT,MEERUT,-,MEERUT,HAPUR,"["" IPC 1860-279"","" IPC 1860-338"","" IPC 1860-427""]",-,2018-02-07T16:06:00.000Z,2,2018,4
ObjectId(5c7dd2249164b2149b5756c2),55/2018,31632014180055,HALDAUR,MORADABAD,-,BAREILLY,BIJNOR,"["" ABKARI ACT-60""]",-,2018-02-17T23:09:00.000Z,2,2018,7
ObjectId(5c7dd2299164b2149b58432c),357/2017,31634033170357,KHURJA DEHAT,MEERUT,77.887,MEERUT,BULANDSHAHAR,"["" IPC 1860-279"","" IPC 1860-337""]",28.2683,2017-10-24T10:30:00.000Z,10,2017,3
ObjectId(5c7dd2399164b2149b5b9f04),147/2017,31650005170147,CHURKHI,JHANSI,,KANPUR,JALAUN,"["" THE ELECTRICITY ACT"","" 2003-135"","" THE ELECTRICITY ACT"","" 2003-135""]",,2017-10-15T13:10:00.000Z,10,2017,1
ObjectId(5c7dd2349164b2149b5a82d7),125/2018,31646042180125,TARABGANJ,DEVIPATAN,"81.9459-,",GORAKHPUR,GONDA,"["" THE U.P. EXCISE ACT-60""]","27.0496-,",2018-05-10T18:21:00.000Z,5,2018,5
ObjectId(5c7dd2029164b2149b508ddb),245/2017,31895004170245,KOKHRAJ,PRAYAGRAJ,81.5871,PRAYAGRAJ,KAUSHAMBI,"["" IPC 1860-379"","" IPC 1860-411""]",25.5237,2017-04-24T21:10:00.000Z,4,2017,2
ObjectId(5c7dd1e69164b2149b4b0ae0),458/2016,31671027160458,MISHRIT,LUCKNOW,---,LUCKNOW,SITAPUR,"["" IPC 1860-279"","" IPC 1860-337"","" IPC 1860-338"","" IPC 1860-304-A"","" IPC 1860-427""]",---,2016-12-31T16:05:00.000Z,12,2016,7
ObjectId(5c7dd21c9164b2149b55c796),2475/2016,31626045162475,VISHESHARGANJ,DEVIPATAN,,GORAKHPUR,BAHRAICH,"["" IPC 1860-363""]",,2016-11-07T11:10:00.000Z,11,2016,2
ObjectId(5c7dd23e9164b2149b5c9753),102/2016,31653015160102,COLONOL GANJ,KANPUR,,KANPUR,KANPUR CITY,"["" NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT"","" 1985-18"","" NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT"","" 1985-20""]",,2016-03-20T21:50:00.000Z,3,2016,1
ObjectId(5c7dd2489164b2149b5e8c2c),947/2016,31655061160947,THAKURGANJ,LUCKNOW,---,LUCKNOW,LUCKNOW,"["" THE ELECTRICITY ACT"","" 2003-135""]",---,2016-09-05T16:20:00.000Z,9,2016,2
ObjectId(5c7dd1ee9164b2149b4ca745),710/2018,31679063180710,RASULPUR,AGRA,78.41781-E,AGRA,FIROZABAD,"["" THE ELECTRICITY ACT"","" 2003-135""]",27.13445-N,2018-09-10T23:25:00.000Z,9,2018,2
ObjectId(5c7dd1e59164b2149b4ab93c),214/2018,31670034180214,ROJA,BAREILLY,-,BAREILLY,SHAHJAHANPUR,"["" PUBLIC GAMBLING ACT"","" 1867-13""]",-,2018-04-29T15:12:00.000Z,4,2018,1
ObjectId(5c7dd2199164b2149b553e38),132/2017,31625005170132,BARDAH,AZAMGARH,-,VARANASI,AZAMGARH,"["" IPC 1860-354"","" IPC 1860-323""]",-,2017-04-28T12:30:00.000Z,4,2017,6
ObjectId(5c7dd1f59164b2149b4dff46),292/2018,31682014180292,DERAPUR,KANPUR,,KANPUR,KANPUR DEHAT,"["" THE UTTAR PRADESH GANGSTERS AND ANTI-SOCIAL ACTIVITIES (PREVENTION) ACT"",""1986-3(1)""]",,2018-11-06T22:19:39.000Z,11,2018,3
ObjectId(5c7dd2339164b2149b5a5bfd),307/2017,31646019170307,KHODARE,DEVIPATAN,,GORAKHPUR,GONDA,"["" U.P PROTECTION OF TREES IN RURAL AND HILL AREAS ACT 1976-4"","" U.P PROTECTION OF TREES IN RURAL AND HILL AREAS ACT 1976-10"","" The Motor Vehicle Act 1988 (Amendment 2015).-207"","" U.P PROTECTION OF TREES IN RURAL AND HILL AREAS ACT 1976-4"","" U.P PROTECTION OF TREES IN RURAL AND HILL AREAS ACT 1976-10"","" The Motor Vehicle Act 1988 (Amendment 2015).-207""]",,2017-10-24T19:40:00.000Z,10,2017,3
ObjectId(5c7dd2329164b2149b5a2d3e),1475/2016,31644026161475,MOHAMMADABAD,VARANASI,,VARANASI,GHAZIPUR,"["" IPC 1860-279"","" IPC 1860-338"","" IPC 1860-279"","" IPC 1860-338""]",,2016-11-24T12:50:00.000Z,11,2016,5
ObjectId(5c7dd21c9164b2149b55bef5),417/2017,31626035170417,RUPAI DIHA,DEVIPATAN,,GORAKHPUR,BAHRAICH,"["" THE U.P. EXCISE ACT-60"","" THE U.P. EXCISE ACT-60""]",,2017-05-18T15:15:00.000Z,5,2017,5
ObjectId(5c7dd2109164b2149b537c17),65/2018,31621040180065,PINDOURA,AGRA,-,AGRA,AGRA,"["" IPC 1860-376"","" THE PROTECTION OF CHILDREN FROM SEXUAL OFFENCE ACT"","" 2012-3"","" THE PROTECTION OF CHILDREN FROM SEXUAL OFFENCE ACT"","" 2012-4""]",-,2018-12-03T17:21:14.000Z,12,2018,2
ObjectId(5c7dd1e99164b2149b4b877f),605/2017,31674009170605,BANGARMAU,LUCKNOW,80.3046,LUCKNOW,UNNAO,"["" IPC 1860-498-A"","" IPC 1860-304-B"","" DOWRY PROHIBITION ACT"","" 1961-3"","" DOWRY PROHIBITION ACT"","" 1961-4""]",26.8683,2017-08-09T20:45:00.000Z,8,2017,4
ObjectId(5c7dd2419164b2149b5d37f2),332/2018,31654017180332,ISANAGAR,LUCKNOW,-,LUCKNOW,KHERI,"["" THE U.P. EXCISE ACT-60(2)""]",-,2018-09-16T16:10:00.000Z,9,2018,1
ObjectId(5c7dd24b9164b2149b5f392f),703/2017,31657021170703,KOTWALI,AGRA,77.6744,AGRA,MATHURA,"["" IPC 1860-379""]",27.5132,2017-07-19T21:10:00.000Z,7,2017,4
ObjectId(5c7dd2109164b2149b536768),337/2018,31621034180337,MALPURA,AGRA,-,AGRA,AGRA,"["" U.P PUBLIC GAMBLING ACT 1867-13""]",-,2018-02-26T23:29:00.000Z,2,2018,2
ObjectId(5c7dd24c9164b2149b5f862c),300/2017,31658005170300,BRAHMPURI,MEERUT,77.6937,MEERUT,MEERUT,"["" IPC 1860-354-A"","" IPC 1860-294"","" IPC 1860-427""]",28.9572,2017-06-02T10:30:00.000Z,6,2017,6
ObjectId(5c7dd2239164b2149b574804),160/2017,31632006170160,CHANDPUR,MORADABAD,---,BAREILLY,BIJNOR,"["" IPC 1860-323"","" IPC 1860-504"","" IPC 1860-506"","" IPC 1860-336"","" IPC 1860-324""]",---,2017-02-07T00:20:00.000Z,2,2017,3
ObjectId(5c7dd20c9164b2149b527de8),910/2018,31906003180910,AJITMAL,KANPUR,-,KANPUR,AURAIYA,"["" IPC 1860-304"","" IPC 1860-504""]",-,2018-10-31T17:13:00.000Z,10,2018,4
ObjectId(5c7dd2349164b2149b5a9001),411/2017,31647003170411,BANSGAON,GORAKHPUR,-,GORAKHPUR,GORAKHPUR,"["" IPC 1860-323"","" IPC 1860-452"","" IPC 1860-504"","" IPC 1860-506""]",-,2017-11-05T20:10:00.000Z,11,2017,1
ObjectId(5c7dd2459164b2149b5e05ea),9302/2016,31655020169302,GOSAINGANJ,LUCKNOW,81-06-95-,LUCKNOW,LUCKNOW,"["" IPC 1860-380"","" IPC 1860-457"","" IPC 1860-411""]",26-77-56-,2016-06-11T05:50:00.000Z,6,2016,7
ObjectId(5c7dd2019164b2149b5064e1),530/2018,31894007180530,DIDAULI,MORADABAD,28.8199-द,BAREILLY,JYOTIBAPHULLEYNAGAR,"["" ARMS ACT"","" 1959-3"","" ARMS ACT"","" 1959-25""]",78.5720-अ,2018-11-11T23:14:00.000Z,11,2018,1
ObjectId(5c7dd2239164b2149b572c83),2081/2017,31631045172081,PURANI BASTI,BASTI,-,GORAKHPUR,BASTI,"["" IPC 1860-498-A"","" IPC 1860-323"","" IPC 1860-506""]",-,2017-07-24T18:10:00.000Z,7,2017,2
ObjectId(5c7dd21a9164b2149b5557f0),378/2017,31625024170378,KOTWALI,AZAMGARH,83.2281,VARANASI,AZAMGARH,"["" IPC 1860-498-A"","" IPC 1860-304-B"","" DOWRY PROHIBITION ACT"","" 1961-3"","" DOWRY PROHIBITION ACT"","" 1961-4""]",26.0755,2017-07-24T10:40:00.000Z,7,2017,2
ObjectId(5c7dd2089164b2149b51d288),773/2018,31899009180773,SIKANDRARAU,ALIGARH,27.693094-N,AGRA,HATHRAS,"["" THE EXPLOSIVE ACT"","" 1884-5"","" THE EXPLOSIVE ACT"","" 1884-9B""]",78.373683-S,2018-11-05T20:45:00.000Z,11,2018,2
ObjectId(5c7dd1ff9164b2149b5009a2),12/2016,31832006160012,THANA BHAWAN,SAHARANPUR,77.4291,MEERUT,SHAMLI,"["" IPC 1860-363"","" IPC 1860-366"","" THE PROTECTION OF CHILDREN FROM SEXUAL OFFENCE ACT"","" 2012-3"","" THE PROTECTION OF CHILDREN FROM SEXUAL OFFENCE ACT"","" 2012-4"","" IPC 1860-376""]",29.6359,2016-01-15T15:55:00.000Z,1,2016,6
ObjectId(5c7dd2179164b2149b54d270),601/2018,31623030180601,KAUNDHIYARA,PRAYAGRAJ,81.860248-E,PRAYAGRAJ,PRAYAGRAJ,"["" THE ELECTRICITY ACT"","" 2003-135""]",25.175069-N,2018-12-11T16:14:00.000Z,12,2018,3
ObjectId(5c7dd2459164b2149b5e25ce),72/2016,31655030160072,KAKORI,LUCKNOW,---,LUCKNOW,LUCKNOW,"["" THE ELECTRICITY ACT"","" 2003-135""]",---,2016-02-04T18:05:00.000Z,2,2016,5
ObjectId(5c7dd2179164b2149b54e015),223/2017,31623037170223,MEJA,PRAYAGRAJ,82-09-20-5,PRAYAGRAJ,PRAYAGRAJ,"["" IPC 1860-279"","" IPC 1860-337"","" IPC 1860-338""]",25-25-25-2,2017-03-09T19:30:00.000Z,3,2017,5
ObjectId(5c7dd22b9164b2149b58a77b),505/2016,31638051160505,RAMPUR KARKHANA,GORAKHPUR,---,GORAKHPUR,DEORIA,"["" THE U.P. EXCISE ACT-60""]",---,2016-12-04T18:15:00.000Z,12,2016,1
ObjectId(5c7dd2389164b2149b5b64ec),72/2016,31649024160072,LONAR,LUCKNOW,---,LUCKNOW,HARDOI,"["" IPC 1860-452"","" IPC 1860-323"","" IPC 1860-504"","" IPC 1860-506"","" IPC 1860-427""]",---,2016-04-29T10:30:00.000Z,4,2016,6
ObjectId(5c7dd1f39164b2149b4d91c8),984/2018,31681053180984,MASURI,MEERUT,,MEERUT,GHAZIABAD,"["" IPC 1860-379""]",,2018-09-10T12:45:00.000Z,9,2018,2
ObjectId(5c7dd2439164b2149b5d8d09),254/2018,31655003180254,ALIGANJ,LUCKNOW,-,LUCKNOW,LUCKNOW,"["" IPC 1860-406"","" IPC 1860-420""]",-,2018-05-15T11:23:00.000Z,5,2018,3
ObjectId(5c7dd2299164b2149b586b43),709/2016,31634047160709,SHIKANDRABAD,MEERUT,---,MEERUT,BULANDSHAHAR,"["" ARMS ACT"","" 1959-25""]",---,2016-10-10T17:45:00.000Z,10,2016,2
ObjectId(5c7dd1f69164b2149b4e5fd6),1375/2017,31684035171375,ITWA,BASTI,82.666,GORAKHPUR,SIDDHARTH NAGAR,"["" IPC 1860-323"","" IPC 1860-506"","" DOWRY PROHIBITION ACT"","" 1961-3"","" DOWRY PROHIBITION ACT"","" 1961-4"","" IPC 1860-498-A""]",27.3476,2017-06-22T17:15:00.000Z,6,2017,5
